id,course
234,Hệ thống ĐK Khí nén thủy lực
235,Đồ án chuyên ngành
236,Vi mạch điện tử
237,Mô hình hóa và mô phỏng trong kỹ thuật
238,Kỹ năng Quản lý và lãnh đạo
239,Quản lý dự án kỹ thuật
240,Quản lý dự án kỹ thuật
241,Nguyên lý điện nâng cao
242,Lắp đặt hệ thống thiết bị điều khiển tự động
243,Dụng cụ và thiết bị điện
244,Điện tử công suất
245,Hệ thống khí nén và thủy lực
246,Hệ thống cơ điện tử
247,PLC nâng cao
248,Lắp đặt và điều khiển điện trong công nghiệp
249,Ứng dụng CAD trong chế tạo
250,Đồ án 2
251,Đồ án tốt nghiệp
252,Tiếng anh giao tiếp 1
253,Vẽ Kỹ thuật
254,Kỹ thuật an toàn và Bảo hộ lao động
255,Thực hành nguội
256,Linh kiện điện tử
257,Đo lường điện tử
258,Quản lý chất lượng -ISO
259,Vi điều khiển
260,Tiếng anh giao tiếp 2
261,Tiếng anh giao tiếp 3
262,Tiếng Anh chuyên ngành Điện tử công nghiệp
263,Thiết bị điện và nhà máy điện
264,Quản trị doanh nghiệp
265,Kỹ thuật an toàn
266,Bảo trì hệ thống điện và thiết bị điện
267,Cấp nguồn và phân phối điện năng
268,Dịch vụ và lắp đặt điện
269,Điện tử công suất
270,Điều khiển lập trình PLC
271,Đồ án 2
272,Đồ án tốt nghiệp
273,Dự án kỹ thuật
274,Hệ thống cơ điện tử
275,Hệ thống điện khí nén
276,Hệ thống thông tin điện tử
277,Hệ thống vi xử lý cơ bản
278,Kiểm tra và đo lường hệ thống điện điện tử
279,Lắp đặt và điều khiển điện trong công nghiệp
280,Mạch tuần tự và logic tích hợp
281,Nguyên lý các mạch Analoge
282,Nguyên lý hệ thống rô bốt và điều khiển tự động
283,Nguyên lý kỹ thuật
284,Nguyên lý kỹ thuật điện điện tử
285,Nguyên lý kỹ thuật điện điện tử 1
286,Nguyên lý kỹ thuật điện điện tử 2
287,Nguyên lý và vận hành máy điện
288,PLC nâng cao
289,Quản lý chất lượng- ISO
290,Quản lý dự án
291,Thiết bị và hệ thống điều khiển
292,Thiết kế analoge
293,Thiết kế bằng máy tính để chế tạo
294,Thiết kế kỹ thuật số
295,Tổ chức và quản lý kỹ thuật vận hành
296,Toán kỹ thuật 1
297,Toán nâng cao cho kỹ thuật điện điện tử
298,Vi điều khiển
299,Linh kiện điện tử
300,Đo lường điện tử
301,Cơ học chất rắn
302,Kỹ thuật an toàn
303,Nguyên lý kỹ thuật
304,Bảo trì hệ thống điện và thiết bị điện
305,Tổ chức và quản lý hoạt động kỹ thuật
306,Kỹ thuật cơ sở 1
307,Thực hành Kỹ thuật cơ sở 1
308,Công nghệ cơ khí
309,Kỹ thuật cơ sở 2
310,Thực hành thiết kế chi tiết trên máy tính 1
311,Thực hành bản vẽ kỹ thuật
312,Thực hành kỹ thuật chế tạo
313,Nguyên lý và qui trình chế tạo
314,Vật liệu và qui trình
315,"Hàn MIG/MAG cơ bản (1F, 2F, 3F, 4F)"
316,Kỹ thuật ảo
317,Toán nâng cao
318,Sản xuất tinh gọn
319,Công nghệ chế tạo nâng cao
320,Đồ án chuyên ngành
321,Mô hình hóa và mô phỏng trong kỹ thuật
322,Thiết kế kỹ thuật cơ khí
323,Quản lý dự án kỹ thuật
324,Kỹ năng Quản lý và lãnh đạo
325,"Hàn SMAW nâng cao (1G, 2G, 3G, 4G)"
326,"Hàn MIG/MAG nâng cao (1G, 2G, 3G)"
327,Hàn hồ quang dưới lớp thuốc
328,Hàn MIG/MAG nâng cao
329,Hàn ống CN cao 6G ( TIG+ SMAW)
330,Quy trình hàn
331,Hàn ống thép hợp kim
332,Bài tập theo dự án
333,Đồ án tốt nghiệp
334,Tiếng anh chuyên ngành hàn
335,Tiếng anh giao tiếp 2
336,Tiếng anh giao tiếp 1
337,Tin học
338,Vẽ kỹ thuật
339,Kỹ thuật an toàn và Bảo hộ lao động
340,Thực hành nguội
341,Cơ kỹ thuật
342,Dung sai kỹ thuật
343,Vật liệu cơ khí
344,Sức bền vật liệu
345,Hệ thống quản lý chất lượng ISO
346,Tiếng anh giao tiếp 2
347,Tiếng anh giao tiếp 3
348,Anh văn chuyên ngành hàn
349,Nguyên lý kỹ thuật
350,Kỹ thuật an toàn
351,Nguyên lý hàn
352,Hàn TIG
353,Hàn hồ quang dây lõi thuốc
354,Toán kỹ thuật
355,Kỹ thuật điện ứng dụng trong cơ khí
356,Nguyên lý chi tiết máy
357,Thiết kế chi tiết cho sản xuất
358,Thiết kế kỹ thuật
359,Lịch trình và kế hoạch kỹ thuật
360,Bảo trì các hệ thống kỹ thuật và trang thiết bị
361,Công nghệ gia công kim loại
362,Công nghệ hàn và thực nghiệm
363,Quản lý và kiểm tra chất lượng mối hàn
364,Toán kỹ thuật nâng cao
365,Cơ lưu chất
366,Nhiệt động học ứng dụng
367,Cơ học chất rắn
368,Vật liệu ứng dụng
369,Động lực học hệ thống máy
370,Đồ án kỹ thuật
371,Mô hình hóa thiết kế kỹ thuật
372,Kiểm tra chất lượng mối hàn
373,Cơ lưu chất và nhiệt động học kỹ thuật
374,Hàn hồ quang tay
375,Tiếng anh giao tiếp 3
376,Kỹ thuật an toàn
377,Nguyên lý kỹ thuật
378,Hàn hồ quang dây
379,Hàn TIG
380,Hàn hồ quang dây lõi thuốc
381,Nguyên lý hàn
382,Toán kỹ thuật
383,Lịch trình và kế hoạch kỹ thuật
384,Thiết kế chi tiết cho sản xuất
385,Bảo trì các hệ thống kỹ thuật và trang thiết bị
386,Thiết kế kỹ thuật
387,Kỹ thuật điện ứng dụng trong cơ khí
388,Nguyên lý chi tiết máy
389,Cơ lưu chất và nhiệt động học kỹ thuật
390,Đồ án kỹ thuật
391,Toán kỹ thuật nâng cao
392,Phân tích cơ lưu chất
393,Nhiệt động lực học ứng dụng
394,Cơ học chất rắn
395,Ứng dụng đặc tính của vật liệu cho kỹ thuật
396,Động lực học hệ thống máy
397,Thực tập tốt nghiệp/Đồ án tốt nghiệp
398,Mô hình thiết kế kỹ thuật
